id,brand,title,description,price,pricecurrency,spectablecontent,cluster_id
17517797,,Jabra Evolve 75 UC Stereo Headset | 7599-838-199,"Jabra Evolve 75 UC Stereo Headset: MSRP $346.00. Call for pricing. Compatible with PC's, Bluetooth tablets and mobile phones Active Noice Cancellation (ANC) helps you hear better Professional wireless",346.00,USD,,66969.0
40658212,,CORSAIR CARBIDE SPEC-01 Mid-Tower Gaming Case with Red LED Fan | CC-9011050-WW,"ATX Mid Tower1 x USB 2.0 / 1 x USB 3.0 / 1 x Headphone Port / 1 x Microphone Port Front Ports2 External 5.25\"" Drive Bays4 x Combo 3.5\"" / 2.5\"" Internal 3.5\"" Drive Bays",220.00,AED,,195552.0
25011125,,Hikvision DVR 16 CH fino a 8Mpx Turbo 3.0 DS-7216HUHI-K2,Hikvision DVR 16 CH fino a 8Mpx Turbo 3.0 DS-7216HUHI-K2,3.726E2,EUR,,1336313.0
36900730,D'Addario,D'addario NYXL0942 Nickel Guitar Strings Super Light 9-42,,£12.99,,,633686.0
51726938,Ubiquiti,Ubiquiti UniFi AC In-Wall 5-pack (UAP-AC-IW-5),"UniFi AC In-Wall 5 pack, UBIQUITI",404.0600,USD,,1610496.0
89959697,RAM Mounts,"RAP-B-400U - RAM Small Tough-Claw™ with 1\"" Diameter Rubber Ball",,,,,290892.0
39250533,,GoPro Dual Battery Charger + Akumulator do Max,,299,PLN,,4684156.0
57937744,,Fujifilm Instax Mini Mono Black & White (10 sheets) Film,"Fujifilm instax mini film is for all instax mini cameras and comes in a handy cartridge. It offers stunning instant pictures that you can fit into a purse, wallet or mini photo frame. instax film ensu",1.295E1,EUR,,165928.0
66705685,,"iiyama G-MASTER G2730HSU-B1 LED display 68.6 cm (27\"") 1920 x 1080 pixels Full HD Black","iiyama G-MASTER G2730HSU-B1. Display diagonal: 68.6 cm (27\""), Display resolution: 1920 x 1080 pixels, HD type: Full HD, Display technology: LED. Display: LED. Display surface: Matt, Response time: 1 ",9999999,GBP,,1148274.0
90071261,,CISCO - CATALYST 3850 48 PORT FULL POE LAN BASE EN,CISCO CATALYST 3850 48 PORT FULL POE LAN BASE EN (WS-C3850-48F-L) - Produkt: Administrerad - Portar: 48 - Hastighet: 1Gbps,128969.00,SEK,,10049.0
74702654,,Intel Core i9 9th Gen 9900 3.10 GHZ,Intel Core i9 9th Gen 9900 3.10 GHZ; Turbo @ 5.0GHZ; 8 Core; 16 Thread; 16MB Smartcache; 65W TDP; LGA 1151 BX80684I99900S RG18,8208.00,ZAR,,248547.0
45291729,,Corsair Hydro H55 CPU Liquid Cooler Intel 1151/2066 AMD AM3/AM2,Corsair Hydro H55 CPU Liquid Cooler Intel 1151/2066 AMD AM3/AM2,79.9,EUR,,1679067.0
91650188,Kingston,KINGSTON 8GB 1600MHz DDR3 CL10 DIMM (Kit of 2) HyperX Fury Black Series,,46.68,EUR,,702149.0
25446597,RAM Mounts,"RAM-B-201U-C - RAM Long Double Socket Arm for 1\"" Ball Bases - Overall Length: 6\""",,,,,1366684.0
42404872,,SanDisk 128GB Extreme PRO CompactFlash Memory Card,Professional-Grade Performance,126.00,GBP,,1369273.0
42981396,,D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings,"D'Addario's most popular acoustic set, EJ16 delivers the ideal balance of volume, projection and comfortable playability.Phosphor Bronze was introduced to string making by D'Addario in 1974 and has be",9.20,CAD,,1297798.0
7250514,Kingston,KINGSTON 8GB 1600MHz DDR3 CL10 DIMM HyperX Fury Black Series,,41.41,EUR,,1012076.0
66051813,,"Jabra BIZ„˘ 2400 II DuoNEXT GENERATION - IP Wideband-Headset (QD) Type: 82 E-STD, Noice-Cancelling microphone boom: FreeSpin","BIZ 2400 II QD Duo NC WideBand, USB",128.15,USD,,472648.0
86917365,,"Western Digital SSD 2,5"" 1TB Blue 3D NAND",,167.80,,,549556.0
96716900,,Crucial 4GB DDR3L 1600MHz SO-DIMM Single Rank,"There's an easy cure for a slow computer: more memory.Designed to help your system run faster and smoother, Crucial Laptop Memory is one of the easiest and most affordable ways to improve your system'",499.00,ZAR,,2397859.0
52446350,Manfrotto,"Manfrotto tripod kit Befree Advanced MKBFRTA4BK-BH, black","Manfrotto Befree Advanced Twist aluminium travel tripod and ball head kit is the ideal solution for advanced hobbyist photographers who always want maximum performance, including when they’re travelli",179.00,EUR,,943488.0
84855664,,Pokémon: Sword & Shield 3 - Darkness Ablaze Elite Trainer Box,,1075.00,CZK,,2619685.0
