ltable_id,rtable_id,label,cluster_id_left,cluster_id_right,is_hard_negative,pair_id
3789207,67223648,0,2961644,3553607,True,3789207#67223648
62191549,5967029,0,709380,373003,False,62191549#5967029
11178569,37387828,0,709380,782653,False,11178569#37387828
62422382,61976083,0,5135259,5712817,True,62422382#61976083
84339956,97873950,0,1571647,1090670,True,84339956#97873950
4358136,85344876,0,758825,1978071,True,4358136#85344876
95963025,92120329,0,28019,643961,True,95963025#92120329
62899929,5137860,0,158919,323596,True,62899929#5137860
3335799,89940086,0,779562,443612,True,3335799#89940086
33078108,38919022,0,456079,264505,True,33078108#38919022
50944416,86382104,0,155934,760884,True,50944416#86382104
68830291,12541827,0,580471,2427670,True,68830291#12541827
45798790,65479901,0,192208,675848,False,45798790#65479901
45946412,22007806,0,729259,319607,True,45946412#22007806
87561830,3664323,0,764656,1164344,True,87561830#3664323
61195551,84668470,0,2267064,1978071,True,61195551#84668470
61794834,19906097,0,93315,1366684,True,61794834#19906097
206952,81603750,0,76491423,60449185,True,206952#81603750
75207075,3789207,0,279895,2961644,True,75207075#3789207
3420227,27700752,0,580471,137095,True,3420227#27700752
84528711,43789069,0,1476532,2193117,True,84528711#43789069
14654897,82515987,0,1102119,60449185,False,14654897#82515987
69817830,57190868,0,1069672,4045323,True,69817830#57190868
12014461,40336134,0,57147200,76491423,True,12014461#40336134
92817369,59324937,0,165928,300521,True,92817369#59324937
3335799,23327520,0,779562,310518,True,3335799#23327520
84745207,77094922,0,796023,163499,True,84745207#77094922
91040930,5137860,0,764656,323596,True,91040930#5137860
21120329,27166337,0,1659308,1476532,True,21120329#27166337
74659398,8298432,0,387671,971833,True,74659398#8298432
81356812,5644553,0,330408,280415,False,81356812#5644553
77380292,6972787,0,1313785,2039173,False,77380292#6972787
28656579,77650984,0,75956,704991,True,28656579#77650984
33133828,45770332,0,394619,93315,True,33133828#45770332
42480791,1017836,0,91557,1978071,True,42480791#1017836
3519173,92318972,0,1340990,1600396,True,3519173#92318972
90603941,61966290,0,5712817,408446,True,90603941#61966290
78504458,31490474,0,429252,149318,True,78504458#31490474
3420227,43975151,0,580471,2008617,True,3420227#43975151
4537109,48649091,0,580471,2008617,True,4537109#48649091
45840265,55031719,0,1542544,183681,True,45840265#55031719
64029523,55031719,0,5836450,183681,True,64029523#55031719
31585097,92782071,0,900968,75956,True,31585097#92782071
92318972,17000000,0,1600396,580471,True,92318972#17000000
19935629,43569683,0,1794890,833964,False,19935629#43569683
46365731,17000000,0,2008617,580471,True,46365731#17000000
77380292,10557104,0,1313785,4249975,True,77380292#10557104
56383083,54922098,0,443612,779562,True,56383083#54922098
54829738,84323392,0,764656,4560116,True,54829738#84323392
45551590,93505865,0,356251,1196850,True,45551590#93505865
8603153,3420227,0,137095,580471,True,8603153#3420227
93168786,83274921,0,79238,2427670,True,93168786#83274921
11858288,72600552,0,76491423,60449185,True,11858288#72600552
18456007,79961602,0,3656260,1124550,False,18456007#79961602
50007186,59459274,0,603762,165928,True,50007186#59459274
65860213,50781773,0,68127,709380,True,65860213#50781773
8336185,21122556,0,1508649,165928,False,8336185#21122556
97374326,47200708,0,1695227,5409130,True,97374326#47200708
34446457,37007640,0,1457721,187912,True,34446457#37007640
45890903,57987908,0,2008617,2492031,False,45890903#57987908
93985047,53641305,0,287852,4560116,True,93985047#53641305
57337098,7931274,0,149318,1068570,True,57337098#7931274
8603153,16819736,0,137095,2008617,True,8603153#16819736
66047716,1868178,0,3775297,1086172,False,66047716#1868178
88812865,66123367,0,75956,900968,True,88812865#66123367
7474194,544991,0,3160384,387671,False,7474194#544991
84339956,93836358,0,1571647,394619,True,84339956#93836358
87076936,5644553,0,1284659,280415,True,87076936#5644553
31420404,91717987,0,2193117,532781,False,31420404#91717987
20900807,90625197,0,1600396,580471,True,20900807#90625197
39417365,19906097,0,1764013,1366684,True,39417365#19906097
41902860,97906990,0,310518,443612,True,41902860#97906990
21506250,23816635,0,87840,1457721,False,21506250#23816635
57937744,85173141,0,165928,1457721,True,57937744#85173141
54550733,53172887,0,2268487,2833952,False,54550733#53172887
70349654,78512798,0,93315,1994510,False,70349654#78512798
34151162,47282882,0,70963,1054843,True,34151162#47282882
7383990,47948274,0,472648,149318,False,7383990#47948274
5644553,96755227,0,280415,91557,True,5644553#96755227
96915118,24580765,0,48610,3851409,True,96915118#24580765
45770332,39417365,0,93315,1764013,True,45770332#39417365
15510280,12650660,0,195552,786291,False,15510280#12650660
66053411,87861148,0,1090670,279005,True,66053411#87861148
84528711,11763693,0,1476532,3692108,True,84528711#11763693
19697930,97035417,0,3747560,740038,False,19697930#97035417
3762458,10999896,0,4045323,708269,True,3762458#10999896
12014461,52804740,0,57147200,60449185,True,12014461#52804740
23969431,55601807,0,685416,443612,True,23969431#55601807
18693009,29825517,0,2267064,1627512,True,18693009#29825517
45849101,22050570,0,280415,2267064,True,45849101#22050570
28656579,47448449,0,75956,137125,False,28656579#47448449
69366044,2056076,0,709380,472560,True,69366044#2056076
88727182,42728611,0,195552,254664,True,88727182#42728611
92120329,18666720,0,643961,355445,True,92120329#18666720
18331466,15787372,0,1423051,1336313,True,18331466#15787372
83274921,92318972,0,2427670,1600396,True,83274921#92318972
51794998,77183081,0,1382225,1659308,True,51794998#77183081
5137860,61976083,0,323596,5712817,True,5137860#61976083
93444928,78223883,0,155934,941703,True,93444928#78223883
26049981,80103776,0,1385673,509638,False,26049981#80103776
79475473,22992322,0,4045323,1336313,True,79475473#22992322
33078108,29553137,0,456079,387671,True,33078108#29553137
94196046,95532475,0,1808651,310518,True,94196046#95532475
46365731,92318972,0,2008617,1600396,True,46365731#92318972
29064292,1303912,0,649471,1808651,True,29064292#1303912
206952,52958652,0,76491423,107440,True,206952#52958652
20467137,93719352,0,195552,254664,True,20467137#93719352
23327520,31036624,0,310518,32777,True,23327520#31036624
47282882,68830291,0,1054843,580471,True,47282882#68830291
61976083,60624891,0,5712817,580471,False,61976083#60624891
23767510,7972852,0,779562,310518,True,23767510#7972852
3167871,15160348,0,1069672,1336313,True,3167871#15160348
4312088,66582202,0,5836450,183681,True,4312088#66582202
27286069,60533154,0,79254,709380,True,27286069#60533154
37927610,54656100,0,1336313,708269,True,37927610#54656100
27959798,67275979,0,717069,764656,False,27959798#67275979
17110643,31740181,0,2861749,155934,True,17110643#31740181
7726595,42728611,0,195552,254664,True,7726595#42728611
6256141,3789207,0,3846144,2961644,True,6256141#3789207
92817369,23816635,0,165928,1457721,True,92817369#23816635
24528866,34402785,0,836466,26458599,False,24528866#34402785
98165579,1515409,0,394619,1659308,False,98165579#1515409
22770211,24625263,0,709380,719046,True,22770211#24625263
50555230,16818496,0,76491423,78575500,True,50555230#16818496
24223712,92120329,0,472560,643961,False,24223712#92120329
68658257,54943657,0,1702430,1084991,True,68658257#54943657
27429904,29464910,0,2008617,2427670,True,27429904#29464910
45849101,85344876,0,280415,1978071,True,45849101#85344876
2701835,51919374,0,5568458,1571647,True,2701835#51919374
25409167,45849101,0,1978071,280415,True,25409167#45849101
84528711,77183081,0,1476532,1659308,True,84528711#77183081
18381918,51772344,0,275948,310518,True,18381918#51772344
65216291,69366044,0,1044678,709380,True,65216291#69366044
87861148,69927371,0,279005,137764,False,87861148#69927371
48989132,5137860,0,4560116,323596,True,48989132#5137860
90921158,46627365,0,1671509,717069,False,90921158#46627365
87331567,95781094,0,735114,1808651,False,87331567#95781094
50278024,67028945,0,122031,24792,True,50278024#67028945
33326628,37955791,0,75807,1196850,True,33326628#37955791
61976083,53641305,0,5712817,4560116,True,61976083#53641305
15678458,57751570,0,75807,254664,True,15678458#57751570
10999896,69817830,0,708269,1069672,True,10999896#69817830
95707907,77650984,0,75956,704991,True,95707907#77650984
93444928,11453264,0,155934,137125,False,93444928#11453264
27429904,8482438,0,2008617,187912,True,27429904#8482438
57082229,50915848,0,183681,163499,True,57082229#50915848
52438681,80250120,0,1457721,532781,True,52438681#80250120
70326774,3420227,0,27477,580471,True,70326774#3420227
48368736,75207075,0,399319,279895,True,48368736#75207075
21668308,90040742,0,1365371,393711,False,21668308#90040742
79605689,95282914,0,182172,192208,True,79605689#95282914
21962517,12541827,0,1282167,2427670,True,21962517#12541827
14519075,92782071,0,900968,75956,True,14519075#92782071
21506250,69475906,0,87840,60449185,True,21506250#69475906
19935629,30102088,0,1794890,5836450,True,19935629#30102088
85173141,36022457,0,1457721,1118780,True,85173141#36022457
21232394,25407477,0,192208,182172,True,21232394#25407477
46038578,75488221,0,4695729,394619,True,46038578#75488221
92120329,53072167,0,643961,1320095,True,92120329#53072167
82628958,66778692,0,788533,163499,False,82628958#66778692
41959180,84459988,0,46857262,76491423,True,41959180#84459988
16696118,2187806,0,431550,2193117,True,16696118#2187806
19056011,3133021,0,2427670,580471,True,19056011#3133021
45913161,15787372,0,1671509,1336313,True,45913161#15787372
23327520,74306627,0,310518,779562,True,23327520#74306627
24580765,27286069,0,3851409,79254,False,24580765#27286069
96846981,68658257,0,1524442,1702430,True,96846981#68658257
8251649,82676601,0,1157842,683214,True,8251649#82676601
25978496,72600552,0,46857262,60449185,True,25978496#72600552
61195551,70159856,0,2267064,280415,True,61195551#70159856
34746615,51544284,0,616115,122031,True,34746615#51544284
33480491,47393180,0,310518,57147200,False,33480491#47393180
23327520,96388018,0,310518,443612,True,23327520#96388018
51544284,73325934,0,122031,75956,False,51544284#73325934
46365731,29464910,0,2008617,2427670,True,46365731#29464910
71009867,90794437,0,3775297,786291,False,71009867#90794437
29685693,42728611,0,685416,254664,False,29685693#42728611
7726595,98553637,0,195552,1124550,True,7726595#98553637
85344876,35328167,0,1978071,1284659,True,85344876#35328167
12541827,71416766,0,2427670,580471,True,12541827#71416766
41902860,1303912,0,310518,1808651,True,41902860#1303912
10496,27426123,0,163499,704991,False,10496#27426123
55031719,77094922,0,183681,163499,True,55031719#77094922
